,date,time,ticket_number,article,Quantity,unit_price
29003,2021-02-27,10:11,157956.0,FINANCIER X5,1.0,"3,00 €"
29006,2021-02-27,10:16,157957.0,MILLES FEUILLES,1.0,"2,00 €"
29007,2021-02-27,10:16,157957.0,SAVARIN,1.0,"2,00 €"
29008,2021-02-27,10:16,157957.0,PAIN AUX RAISINS,1.0,"1,40 €"
29009,2021-02-27,10:16,157957.0,BAGUETTE,2.0,"0,90 €"
29010,2021-02-27,10:16,157957.0,FLAN,1.0,"2,00 €"
29013,2021-02-27,10:19,157958.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
29016,2021-02-27,10:20,157959.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29019,2021-02-27,10:23,157960.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29022,2021-02-27,10:24,157961.0,BOULE 400G,1.0,"1,50 €"
29023,2021-02-27,10:24,157961.0,COUPE,1.0,"0,15 €"
29026,2021-02-27,10:25,157962.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
29027,2021-02-27,10:25,157962.0,BOULE POLKA,1.0,"1,60 €"
29028,2021-02-27,10:25,157962.0,COUPE,1.0,"0,15 €"
29031,2021-02-27,10:27,157963.0,BANETTE,2.0,"1,05 €"
29034,2021-02-27,10:29,157964.0,TARTELETTE,2.0,"2,00 €"
29035,2021-02-27,10:29,157964.0,PARIS BREST,1.0,"2,00 €"
29036,2021-02-27,10:29,157964.0,TARTELETTE,1.0,"2,00 €"
29037,2021-02-27,10:29,157964.0,NOIX JAPONAISE,1.0,"2,00 €"
29038,2021-02-27,10:29,157964.0,SAVARIN,1.0,"2,00 €"
29039,2021-02-27,10:29,157964.0,ECLAIR,2.0,"2,00 €"
29040,2021-02-27,10:29,157964.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29043,2021-02-27,10:30,157965.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
29046,2021-02-27,10:32,157966.0,CROISSANT,1.0,"1,10 €"
29047,2021-02-27,10:32,157966.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
29050,2021-02-27,10:33,157967.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29051,2021-02-27,10:33,157967.0,CROISSANT,5.0,"1,10 €"
29052,2021-02-27,10:33,157967.0,PAIN AUX RAISINS,1.0,"1,40 €"
29053,2021-02-27,10:33,157967.0,PAIN AU CHOCOLAT,4.0,"1,20 €"
29056,2021-02-27,10:35,157968.0,ECLAIR,2.0,"2,00 €"
29057,2021-02-27,10:35,157968.0,NOIX JAPONAISE,1.0,"2,00 €"
29058,2021-02-27,10:35,157968.0,CHOU CHANTILLY,1.0,"2,00 €"
29059,2021-02-27,10:35,157968.0,MILLES FEUILLES,2.0,"2,00 €"
29060,2021-02-27,10:35,157968.0,BAGUETTE,7.0,"0,90 €"
29063,2021-02-27,10:37,157969.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29064,2021-02-27,10:37,157969.0,COUPE,1.0,"0,15 €"
29065,2021-02-27,10:37,157969.0,BOULE 400G,1.0,"1,50 €"
29068,2021-02-27,10:37,157970.0,TRADITIONAL BAGUETTE,6.0,"1,20 €"
29071,2021-02-27,10:38,157971.0,SPECIAL BREAD,1.0,"2,40 €"
29072,2021-02-27,10:38,157971.0,CROISSANT,3.0,"1,10 €"
29075,2021-02-27,10:40,157972.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29078,2021-02-27,10:40,157973.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
29081,2021-02-27,10:40,157974.0,BANETTE,1.0,"1,05 €"
29084,2021-02-27,10:41,157975.0,DIVERS VIENNOISERIE,1.0,"44,00 €"
29087,2021-02-27,10:42,157976.0,PAIN BANETTE,1.0,"1,40 €"
29090,2021-02-27,10:43,157977.0,BANETTE,3.0,"1,05 €"
29093,2021-02-27,10:45,157978.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
29094,2021-02-27,10:45,157978.0,PAIN AU CHOCOLAT,1.0,"1,20 €"
29095,2021-02-27,10:45,157978.0,CROISSANT,1.0,"1,10 €"
29096,2021-02-27,10:45,157978.0,COUPE,2.0,"0,15 €"
29097,2021-02-27,10:45,157978.0,MOISSON,2.0,"2,00 €"
29100,2021-02-27,10:46,157979.0,NOIX JAPONAISE,2.0,"2,00 €"
29101,2021-02-27,10:46,157979.0,PAIN AU CHOCOLAT,4.0,"1,20 €"
29104,2021-02-27,10:47,157980.0,PAIN AUX RAISINS,1.0,"1,40 €"
29105,2021-02-27,10:47,157980.0,CROISSANT,4.0,"1,10 €"
29106,2021-02-27,10:47,157980.0,BRIOCHE,1.0,"5,00 €"
29107,2021-02-27,10:47,157980.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29110,2021-02-27,10:48,157981.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
29113,2021-02-27,10:49,157982.0,DIVERS VIENNOISERIE,1.0,"0,80 €"
29114,2021-02-27,10:49,157982.0,BAGUETTE,1.0,"0,90 €"
29117,2021-02-27,10:53,157983.0,COUPE,1.0,"0,15 €"
29118,2021-02-27,10:53,157983.0,BOULE 200G,1.0,"1,10 €"
29119,2021-02-27,10:53,157983.0,COUPE,4.0,"0,15 €"
29120,2021-02-27,10:53,157983.0,BOULE 400G,4.0,"1,50 €"
29123,2021-02-27,10:54,157984.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
29124,2021-02-27,10:54,157984.0,MOISSON,1.0,"2,00 €"
29127,2021-02-27,10:56,157985.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
29130,2021-02-27,10:56,157986.0,DEMI PAIN,1.0,"0,60 €"
29133,2021-02-27,10:57,157987.0,COUPE,1.0,"0,15 €"
29134,2021-02-27,10:57,157987.0,BANETTINE,1.0,"0,60 €"
29135,2021-02-27,10:57,157987.0,MOISSON,1.0,"2,00 €"
29138,2021-02-27,10:59,157988.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29139,2021-02-27,10:59,157988.0,QUIM BREAD,2.0,"1,00 €"
29140,2021-02-27,10:59,157988.0,GD KOUIGN AMANN,1.0,"7,50 €"
29143,2021-02-27,11:00,157989.0,TRADITIONAL BAGUETTE,10.0,"1,20 €"
29146,2021-02-27,11:00,157990.0,BAGUETTE,4.0,"0,90 €"
29149,2021-02-27,11:01,157991.0,PAIN,1.0,"1,15 €"
29152,2021-02-27,11:02,157992.0,FORMULE SANDWICH,2.0,"6,50 €"
29155,2021-02-27,11:02,157993.0,FORMULE SANDWICH,2.0,"6,50 €"
29156,2021-02-27,11:02,157993.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29159,2021-02-27,11:03,157994.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29160,2021-02-27,11:03,157994.0,SPECIAL BREAD,1.0,"2,40 €"
29163,2021-02-27,11:04,157995.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29166,2021-02-27,11:05,157996.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
29167,2021-02-27,11:05,157996.0,TARTE FRUITS 4P,1.0,"9,00 €"
29170,2021-02-27,11:06,157997.0,BANETTE,3.0,"1,05 €"
29173,2021-02-27,11:06,157998.0,COUPE,1.0,"0,15 €"
29174,2021-02-27,11:06,157998.0,SEIGLE,1.0,"1,80 €"
29175,2021-02-27,11:06,157998.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29178,2021-02-27,11:09,157999.0,CROISSANT,1.0,"1,10 €"
29179,2021-02-27,11:09,157999.0,SAND JB EMMENTAL,1.0,"3,50 €"
29182,2021-02-27,11:10,158000.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29185,2021-02-27,11:11,158001.0,BANETTE,1.0,"1,05 €"
29188,2021-02-27,11:15,158002.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29191,2021-02-27,11:19,158003.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
29192,2021-02-27,11:19,158003.0,PAIN AU CHOCOLAT,4.0,"1,20 €"
29193,2021-02-27,11:19,158003.0,CROISSANT,4.0,"1,10 €"
29196,2021-02-27,11:20,158004.0,TARTELETTE,2.0,"2,00 €"
29197,2021-02-27,11:20,158004.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29200,2021-02-27,11:21,158005.0,TARTE FRUITS 6P,1.0,"12,00 €"
29201,2021-02-27,11:21,158005.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
29202,2021-02-27,11:21,158005.0,SUCETTE,3.0,"0,30 €"
29205,2021-02-27,11:22,158006.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
29208,2021-02-27,11:24,158007.0,COUPE,4.0,"0,15 €"
29209,2021-02-27,11:24,158007.0,BOULE 400G,4.0,"1,50 €"
29212,2021-02-27,11:25,158008.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29213,2021-02-27,11:25,158008.0,BAGUETTE,1.0,"0,90 €"
29216,2021-02-27,11:25,158009.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
29219,2021-02-27,11:25,158010.0,CEREAL BAGUETTE,2.0,"1,25 €"
29220,2021-02-27,11:25,158010.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29223,2021-02-27,11:26,158011.0,BOULE 200G,1.0,"1,10 €"
29224,2021-02-27,11:26,158011.0,COUPE,1.0,"0,15 €"
29227,2021-02-27,11:26,158012.0,BRIOCHETTE,2.0,"0,80 €"
29228,2021-02-27,11:26,158012.0,BANETTE,1.0,"1,05 €"
29231,2021-02-27,11:27,158013.0,BOULE 400G,1.0,"1,50 €"
29234,2021-02-27,11:28,158014.0,SPECIAL BREAD,1.0,"2,40 €"
29235,2021-02-27,11:28,158014.0,COUPE,1.0,"0,15 €"
29236,2021-02-27,11:28,158014.0,CEREAL BAGUETTE,1.0,"1,25 €"
29239,2021-02-27,11:29,158015.0,COUPE,2.0,"0,15 €"
29240,2021-02-27,11:29,158015.0,SEIGLE,2.0,"1,80 €"
29241,2021-02-27,11:29,158015.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29244,2021-02-27,11:30,158016.0,COUPE,1.0,"0,15 €"
29245,2021-02-27,11:30,158016.0,SPECIAL BREAD,1.0,"2,40 €"
29246,2021-02-27,11:30,158016.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
29249,2021-02-27,11:31,158017.0,PAIN AU CHOCOLAT,3.0,"1,20 €"
29250,2021-02-27,11:31,158017.0,GD KOUIGN AMANN,1.0,"7,50 €"
29251,2021-02-27,11:31,158017.0,CROISSANT,3.0,"1,10 €"
29254,2021-02-27,11:32,158018.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29257,2021-02-27,11:32,158019.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29260,2021-02-27,11:33,158020.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29261,2021-02-27,11:33,158020.0,PAIN AU CHOCOLAT,2.0,"1,20 €"
29264,2021-02-27,11:33,158021.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
29267,2021-02-27,11:34,158022.0,COUPE,1.0,"0,15 €"
29268,2021-02-27,11:34,158022.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29269,2021-02-27,11:34,158022.0,BOULE 200G,1.0,"1,10 €"
29272,2021-02-27,11:34,158023.0,SAND JB EMMENTAL,2.0,"3,50 €"
29275,2021-02-27,11:36,158024.0,CAMPAGNE,2.0,"1,80 €"
29276,2021-02-27,11:36,158024.0,COUPE,2.0,"0,15 €"
29279,2021-02-27,11:36,158025.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29282,2021-02-27,11:36,158026.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29285,2021-02-27,11:37,158027.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29288,2021-02-27,11:37,158028.0,COUPE,1.0,"0,15 €"
29289,2021-02-27,11:37,158028.0,SPECIAL BREAD,1.0,"2,40 €"
29292,2021-02-27,11:38,158029.0,COUPE,1.0,"0,15 €"
29293,2021-02-27,11:38,158029.0,BANETTE,1.0,"1,05 €"
29294,2021-02-27,11:38,158029.0,SPECIAL BREAD,1.0,"2,40 €"
29297,2021-02-27,11:38,158030.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29300,2021-02-27,11:39,158031.0,BAGUETTE,1.0,"0,90 €"
29303,2021-02-27,11:39,158032.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
29306,2021-02-27,11:41,158033.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29307,2021-02-27,11:41,158033.0,CROISSANT,2.0,"1,10 €"
29310,2021-02-27,11:42,158034.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29313,2021-02-27,11:44,158035.0,BAGUETTE,1.0,"0,90 €"
29316,2021-02-27,11:45,158036.0,TARTE FRUITS 4P,1.0,"9,00 €"
29319,2021-02-27,11:48,158037.0,BAGUETTE,1.0,"0,90 €"
29320,2021-02-27,11:48,158037.0,SEIGLE,1.0,"1,80 €"
29321,2021-02-27,11:48,158037.0,CAMPAGNE,1.0,"1,80 €"
29322,2021-02-27,11:48,158037.0,COUPE,1.0,"0,15 €"
29323,2021-02-27,11:48,158037.0,COUPE,1.0,"0,15 €"
29324,2021-02-27,11:48,158037.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29327,2021-02-27,11:48,158038.0,BANETTE,4.0,"1,05 €"
29330,2021-02-27,11:49,158039.0,COUPE,1.0,"0,15 €"
29331,2021-02-27,11:49,158039.0,CAMPAGNE,1.0,"1,80 €"
29332,2021-02-27,11:49,158039.0,BANETTE,1.0,"1,05 €"
29335,2021-02-27,11:51,158040.0,COUPE,2.0,"0,15 €"
29336,2021-02-27,11:51,158040.0,SPECIAL BREAD,2.0,"2,40 €"
29337,2021-02-27,11:51,158040.0,CEREAL BAGUETTE,2.0,"1,25 €"
29340,2021-02-27,11:51,158041.0,PAIN BANETTE,1.0,"1,40 €"
29343,2021-02-27,11:51,158042.0,PAIN BANETTE,-1.0,"1,40 €"
29346,2021-02-27,11:51,158043.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29349,2021-02-27,11:51,158044.0,CEREAL BAGUETTE,1.0,"1,25 €"
29352,2021-02-27,11:51,158045.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29355,2021-02-27,11:52,158046.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29358,2021-02-27,11:52,158047.0,COUPE,1.0,"0,15 €"
29359,2021-02-27,11:52,158047.0,COMPLET,1.0,"1,50 €"
29362,2021-02-27,11:52,158048.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
29365,2021-02-27,11:54,158049.0,SPECIAL BREAD,1.0,"2,40 €"
29366,2021-02-27,11:54,158049.0,CEREAL BAGUETTE,3.0,"1,25 €"
29367,2021-02-27,11:54,158049.0,COUPE,1.0,"0,15 €"
29370,2021-02-27,11:54,158050.0,BAGUETTE,1.0,"0,90 €"
29371,2021-02-27,11:54,158050.0,PAIN,1.0,"1,15 €"
29374,2021-02-27,11:55,158051.0,PAIN AU CHOCOLAT,1.0,"1,20 €"
29375,2021-02-27,11:55,158051.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29376,2021-02-27,11:55,158051.0,CHAUSSON AUX POMMES,1.0,"1,40 €"
29379,2021-02-27,11:55,158052.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29380,2021-02-27,11:55,158052.0,PARIS BREST,1.0,"2,00 €"
29381,2021-02-27,11:55,158052.0,SAVARIN,1.0,"2,00 €"
29384,2021-02-27,11:57,158053.0,SPECIAL BREAD,1.0,"2,40 €"
29385,2021-02-27,11:57,158053.0,COUPE,1.0,"0,15 €"
29388,2021-02-27,11:57,158054.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
29391,2021-02-27,11:58,158055.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29394,2021-02-27,11:58,158056.0,BAGUETTE,2.0,"0,90 €"
29395,2021-02-27,11:58,158056.0,COUPE,1.0,"0,15 €"
29396,2021-02-27,11:58,158056.0,COMPLET,1.0,"1,50 €"
29399,2021-02-27,11:59,158057.0,BANETTE,1.0,"1,05 €"
29402,2021-02-27,11:59,158058.0,BAGUETTE,1.0,"0,90 €"
29403,2021-02-27,11:59,158058.0,BANETTE,2.0,"1,05 €"
29406,2021-02-27,12:00,158059.0,BANETTE,1.0,"1,05 €"
29407,2021-02-27,12:00,158059.0,TARTELETTE,2.0,"2,00 €"
29410,2021-02-27,12:00,158060.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29413,2021-02-27,12:00,158061.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29416,2021-02-27,12:01,158062.0,CAMPAGNE,1.0,"1,80 €"
29419,2021-02-27,12:01,158063.0,PAIN AUX RAISINS,2.0,"1,40 €"
29420,2021-02-27,12:01,158063.0,CHAUSSON AUX POMMES,1.0,"1,40 €"
29421,2021-02-27,12:01,158063.0,CAFE OU EAU,3.0,"1,00 €"
29424,2021-02-27,12:02,158064.0,CAMPAGNE,1.0,"1,80 €"
29427,2021-02-27,12:04,158065.0,GD KOUIGN AMANN,1.0,"7,50 €"
29428,2021-02-27,12:04,158065.0,COUPE,1.0,"0,15 €"
29429,2021-02-27,12:04,158065.0,CAMPAGNE,1.0,"1,80 €"
29430,2021-02-27,12:04,158065.0,COUPE,1.0,"0,15 €"
29431,2021-02-27,12:04,158065.0,VIK BREAD,1.0,"2,50 €"
29432,2021-02-27,12:04,158065.0,COUPE,1.0,"0,15 €"
29433,2021-02-27,12:04,158065.0,SPECIAL BREAD,1.0,"2,40 €"
29436,2021-02-27,12:04,158066.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29439,2021-02-27,12:05,158067.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29442,2021-02-27,12:05,158068.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29445,2021-02-27,12:05,158069.0,CEREAL BAGUETTE,2.0,"1,25 €"
29448,2021-02-27,12:06,158070.0,NOIX JAPONAISE,2.0,"2,00 €"
29449,2021-02-27,12:06,158070.0,TARTELETTE,1.0,"2,00 €"
29450,2021-02-27,12:06,158070.0,KOUIGN AMANN,3.0,"2,10 €"
29451,2021-02-27,12:06,158070.0,QUIM BREAD,2.0,"1,00 €"
29454,2021-02-27,12:09,158071.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29455,2021-02-27,12:09,158071.0,PAIN BANETTE,1.0,"1,40 €"
29458,2021-02-27,12:09,158072.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
29461,2021-02-27,12:11,158073.0,COUPE,1.0,"0,15 €"
29462,2021-02-27,12:11,158073.0,FICELLE,1.0,"0,60 €"
29463,2021-02-27,12:11,158073.0,CAMPAGNE,1.0,"1,80 €"
29466,2021-02-27,12:11,158074.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29469,2021-02-27,12:12,158075.0,TARTELETTE,3.0,"2,00 €"
29470,2021-02-27,12:12,158075.0,ECLAIR,4.0,"2,00 €"
29471,2021-02-27,12:12,158075.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29472,2021-02-27,12:12,158075.0,CEREAL BAGUETTE,1.0,"1,25 €"
29475,2021-02-27,12:15,158076.0,CAMPAGNE,1.0,"1,80 €"
29476,2021-02-27,12:15,158076.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29477,2021-02-27,12:15,158076.0,COUPE,1.0,"0,15 €"
29480,2021-02-27,12:16,158077.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29481,2021-02-27,12:16,158077.0,COUPE,1.0,"0,15 €"
29482,2021-02-27,12:16,158077.0,CAMPAGNE,1.0,"1,80 €"
29485,2021-02-27,12:18,158078.0,GRAND FAR BRETON,1.0,"7,00 €"
29486,2021-02-27,12:18,158078.0,QUIM BREAD,2.0,"1,00 €"
29489,2021-02-27,12:19,158079.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29492,2021-02-27,12:19,158080.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29495,2021-02-27,12:21,158081.0,TRADITIONAL BAGUETTE,5.0,"1,20 €"
29496,2021-02-27,12:21,158081.0,BAGUETTE,1.0,"0,90 €"
29500,2021-02-27,12:22,158082.0,TRADITIONAL BAGUETTE,-5.0,"1,20 €"
29501,2021-02-27,12:22,158082.0,BAGUETTE,-1.0,"0,90 €"
29505,2021-02-27,12:22,158083.0,BAGUETTE,1.0,"0,90 €"
29506,2021-02-27,12:22,158083.0,TRADITIONAL BAGUETTE,5.0,"1,20 €"
29509,2021-02-27,12:22,158084.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
29512,2021-02-27,12:23,158085.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29515,2021-02-27,12:23,158086.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29518,2021-02-27,12:23,158087.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
29521,2021-02-27,12:24,158088.0,DIVERS VIENNOISERIE,1.0,"2,40 €"
29522,2021-02-27,12:24,158088.0,COUPE,1.0,"0,15 €"
29523,2021-02-27,12:24,158088.0,VIK BREAD,1.0,"2,50 €"
29526,2021-02-27,12:26,158089.0,COUPE,1.0,"0,15 €"
29527,2021-02-27,12:26,158089.0,BANETTE,1.0,"1,05 €"
29528,2021-02-27,12:26,158089.0,BOULE 400G,1.0,"1,50 €"
29529,2021-02-27,12:26,158089.0,FICELLE,1.0,"0,60 €"
29532,2021-02-27,12:26,158090.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29535,2021-02-27,12:27,158091.0,COUPE,1.0,"0,15 €"
29536,2021-02-27,12:27,158091.0,MOISSON,1.0,"2,00 €"
29537,2021-02-27,12:27,158091.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29540,2021-02-27,12:28,158092.0,COUPE,1.0,"0,15 €"
29541,2021-02-27,12:28,158092.0,MOISSON,1.0,"2,00 €"
29544,2021-02-27,12:29,158093.0,BAGUETTE,1.0,"0,90 €"
29545,2021-02-27,12:29,158093.0,COUPE,1.0,"0,15 €"
29548,2021-02-27,12:30,158094.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29551,2021-02-27,12:30,158095.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29554,2021-02-27,12:31,158096.0,BOULE 400G,2.0,"1,50 €"
29555,2021-02-27,12:31,158096.0,COUPE,1.0,"0,15 €"
29556,2021-02-27,12:31,158096.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29557,2021-02-27,12:31,158096.0,PAIN S/SEL,1.0,"1,50 €"
29560,2021-02-27,12:31,158097.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29563,2021-02-27,12:32,158098.0,NANTAIS,2.0,"2,50 €"
29564,2021-02-27,12:32,158098.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29567,2021-02-27,12:32,158099.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29570,2021-02-27,12:33,158100.0,VIK BREAD,1.0,"2,50 €"
29571,2021-02-27,12:33,158100.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29572,2021-02-27,12:33,158100.0,COUPE,1.0,"0,15 €"
29575,2021-02-27,12:34,158101.0,COUPE,1.0,"0,15 €"
29576,2021-02-27,12:34,158101.0,SPECIAL BREAD,1.0,"2,40 €"
29577,2021-02-27,12:34,158101.0,SEIGLE,1.0,"1,80 €"
29578,2021-02-27,12:34,158101.0,COUPE,1.0,"0,15 €"
29581,2021-02-27,12:35,158102.0,SANDWICH COMPLET,2.0,"4,50 €"
29582,2021-02-27,12:35,158102.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29585,2021-02-27,12:35,158103.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
29588,2021-02-27,12:36,158104.0,BANETTE,2.0,"1,05 €"
29589,2021-02-27,12:36,158104.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29590,2021-02-27,12:36,158104.0,BAGUETTE,1.0,"0,90 €"
29593,2021-02-27,12:39,158105.0,VIK BREAD,3.0,"2,50 €"
29594,2021-02-27,12:39,158105.0,CEREAL BAGUETTE,2.0,"1,25 €"
29595,2021-02-27,12:39,158105.0,COUPE,3.0,"0,15 €"
29598,2021-02-27,12:39,158106.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29601,2021-02-27,12:40,158107.0,BAGUETTE,1.0,"0,90 €"
29604,2021-02-27,12:40,158108.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29605,2021-02-27,12:40,158108.0,GD KOUIGN AMANN,1.0,"7,50 €"
29608,2021-02-27,12:41,158109.0,SPECIAL BREAD,1.0,"2,40 €"
29609,2021-02-27,12:41,158109.0,COUPE,1.0,"0,15 €"
29610,2021-02-27,12:41,158109.0,BANETTE,2.0,"1,05 €"
29613,2021-02-27,12:43,158110.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29616,2021-02-27,12:45,158111.0,TRADITIONAL BAGUETTE,5.0,"1,20 €"
29619,2021-02-27,12:45,158112.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29622,2021-02-27,12:46,158113.0,CROISSANT,1.0,"1,10 €"
29623,2021-02-27,12:46,158113.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29626,2021-02-27,12:48,158114.0,COUPE,1.0,"0,15 €"
29627,2021-02-27,12:48,158114.0,MOISSON,2.0,"2,00 €"
29628,2021-02-27,12:48,158114.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29629,2021-02-27,12:48,158114.0,VIK BREAD,1.0,"2,50 €"
29630,2021-02-27,12:48,158114.0,DIVERS VIENNOISERIE,1.0,"6,00 €"
29631,2021-02-27,12:48,158114.0,COUPE,2.0,"0,15 €"
29634,2021-02-27,12:49,158115.0,BAGUETTE,1.0,"0,90 €"
29635,2021-02-27,12:49,158115.0,FINANCIER X5,1.0,"3,00 €"
29638,2021-02-27,12:50,158116.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29641,2021-02-27,12:52,158117.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29644,2021-02-27,12:53,158118.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29647,2021-02-27,12:53,158119.0,BANETTE,1.0,"1,05 €"
29650,2021-02-27,12:54,158120.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29651,2021-02-27,12:54,158120.0,COMPLET,1.0,"1,50 €"
29654,2021-02-27,12:55,158121.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
29657,2021-02-27,12:56,158122.0,BAGUETTE,1.0,"0,90 €"
29660,2021-02-27,12:56,158123.0,GRANDE SUCETTE,1.0,"0,60 €"
29661,2021-02-27,12:56,158123.0,BAGUETTE,1.0,"0,90 €"
29664,2021-02-27,12:59,158124.0,SAND JB EMMENTAL,1.0,"3,50 €"
29665,2021-02-27,12:59,158124.0,BAGUETTE APERO,1.0,"4,50 €"
29666,2021-02-27,12:59,158124.0,SANDWICH COMPLET,1.0,"4,50 €"
29669,2021-02-27,12:59,158125.0,ECLAIR,1.0,"2,00 €"
29670,2021-02-27,12:59,158125.0,FICELLE,1.0,"0,60 €"
29673,2021-02-27,13:00,158126.0,TRADITIONAL BAGUETTE,6.0,"1,20 €"
29676,2021-02-27,13:00,158127.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29679,2021-02-27,13:04,158128.0,CEREAL BAGUETTE,5.0,"1,25 €"
29682,2021-02-27,13:04,158129.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
29685,2021-02-27,13:05,158130.0,COUPE,1.0,"0,15 €"
29686,2021-02-27,13:05,158130.0,SPECIAL BREAD,1.0,"2,40 €"
